Thaddeus,Young,2015-01-10,MIN,SAS,True,1410.0,2,8,0,1,0,0,5,5,2,1,0,0,2,4
Sergey,Karasev,2015-01-10,BRK,DET,False,674.0,1,2,0,0,0,0,1,1,1,0,0,0,0,2
Tyler,Zeller,2015-01-10,BOS,TOR,False,1303.0,3,9,0,0,0,1,4,5,0,0,0,0,2,6
Troy,Daniels,2015-01-10,MIN,SAS,True,846.0,1,3,1,3,0,0,2,2,2,0,0,1,1,3
Phil,Pressey,2015-01-10,BOS,TOR,False,971.0,1,3,0,1,2,0,1,1,1,0,0,1,1,4
Jason,Terry,2015-01-10,HOU,UTA,True,1135.0,0,1,0,1,0,0,0,0,4,1,0,0,3,0
Jodie,Meeks,2015-01-10,DET,BRK,True,1444.0,1,9,0,5,5,0,0,0,1,0,0,0,0,7
Al-Farouq,Aminu,2015-01-10,DAL,LAC,False,520.0,0,0,0,0,0,1,2,3,1,0,0,0,1,0
Taj,Gibson,2015-01-10,CHI,MIL,True,1551.0,3,12,0,0,0,5,1,6,1,0,1,2,1,6
C.J.,Miles,2015-01-10,IND,PHI,False,235.0,1,3,1,2,0,0,1,1,0,0,0,0,0,3
Tony,Snell,2015-01-10,CHI,MIL,True,1891.0,1,7,0,4,0,3,3,6,2,0,1,1,0,2
Giannis,Antetokounmpo,2015-01-10,MIL,CHI,False,1572.0,2,6,0,0,0,1,5,6,2,1,1,2,5,4
Channing,Frye,2015-01-10,ORL,POR,False,1899.0,1,10,1,8,0,0,8,8,3,2,0,1,1,3
Miroslav,Raduljica,2015-01-10,MIN,SAS,True,346.0,1,2,0,0,2,0,1,1,0,0,0,1,2,4
Aaron,Brooks,2015-01-10,CHI,MIL,True,1411.0,1,7,1,1,2,0,0,0,3,1,0,1,3,5
Noah,Vonleh,2015-01-10,CHO,NYK,False,552.0,1,3,0,0,1,0,1,1,1,0,1,1,1,3
Will,Barton,2015-01-10,POR,ORL,True,550.0,1,1,0,0,0,0,0,0,1,0,0,1,1,2
Jerome,Jordan,2015-01-10,BRK,DET,False,345.0,1,1,0,0,0,0,2,2,0,0,0,1,1,2
Trevor,Booker,2015-01-10,UTA,HOU,False,837.0,2,4,0,1,0,0,1,1,0,0,1,1,3,4
Chase,Budinger,2015-01-10,MIN,SAS,True,1106.0,1,6,0,1,0,1,4,5,0,1,0,0,1,2
Chris,Douglas-Roberts,2015-01-10,LAC,DAL,True,199.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gerald,Henderson,2015-01-10,CHO,NYK,False,1480.0,4,11,0,1,1,0,3,3,3,0,0,4,2,9
Luis,Scola,2015-01-10,IND,PHI,False,1021.0,2,9,0,0,1,1,4,5,3,0,0,0,3,5
Ekpe,Udoh,2015-01-10,LAC,DAL,True,90.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Steve,Blake,2015-01-10,POR,ORL,True,1182.0,0,3,0,2,1,1,1,2,3,0,0,1,0,1
E'Twaun,Moore,2015-01-10,CHI,MIL,True,565.0,1,2,0,0,0,0,0,0,0,0,0,0,1,2
Andrew,Nicholson,2015-01-10,ORL,POR,False,309.0,1,3,0,0,0,0,0,0,1,0,0,0,1,2
Glenn,Robinson,2015-01-10,MIN,SAS,True,149.0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Dante,Exum,2015-01-10,UTA,HOU,False,452.0,1,2,0,1,1,0,1,1,0,0,0,1,1,3
Kendall,Marshall,2015-01-10,MIL,CHI,False,401.0,1,1,0,0,0,0,0,0,1,0,0,2,0,2
Rajon,Rondo,2015-01-10,DAL,LAC,False,1604.0,1,11,0,3,0,1,2,3,8,1,0,1,3,2
Terrence,Ross,2015-01-10,TOR,BOS,True,1237.0,2,9,2,4,0,0,1,1,2,0,0,1,2,6
Evan,Turner,2015-01-10,BOS,TOR,False,1634.0,2,9,0,1,0,2,4,6,5,0,0,3,3,4
Kyle,Anderson,2015-01-10,SAS,MIN,False,149.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Jarrett,Jack,2015-01-10,BRK,DET,False,1753.0,2,12,1,8,0,0,1,1,8,2,0,3,5,5
Zaza,Pachulia,2015-01-10,MIL,CHI,False,1479.0,3,12,0,0,1,2,2,4,2,0,1,2,3,7
Damjan,Rudez,2015-01-10,IND,PHI,False,527.0,0,1,0,0,0,1,1,2,0,0,0,0,0,0
Jeffery,Taylor,2015-01-10,CHO,NYK,False,720.0,1,3,0,0,0,1,2,3,2,0,0,2,2,2
Isaiah,Canaan,2015-01-10,HOU,UTA,True,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian,Clark,2015-01-10,UTA,HOU,False,237.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Joey,Dorsey,2015-01-10,HOU,UTA,True,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,O'Quinn,2015-01-10,ORL,POR,False,680.0,2,3,0,0,0,0,2,2,1,1,0,3,5,4
Pablo,Prigioni,2015-01-10,NYK,CHO,True,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,Tolliver,2015-01-10,DET,BRK,True,310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen,Davis,2015-01-10,LAC,DAL,True,285.0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
Greg,Smith,2015-01-10,DAL,LAC,False,800.0,0,0,0,0,0,2,1,3,0,0,0,1,2,0
Ian,Mahinmi,2015-01-10,IND,PHI,False,249.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
Reggie,Bullock,2015-01-10,LAC,DAL,True,447.0,1,3,0,2,0,0,1,1,0,0,0,1,0,2
Ben,Gordon,2015-01-10,ORL,POR,False,1547.0,1,7,1,3,2,1,3,4,1,0,0,2,3,5
Kostas,Papanikolaou,2015-01-10,HOU,UTA,True,823.0,1,3,1,3,0,0,1,1,0,1,0,3,0,3
Marcus,Thornton,2015-01-10,BOS,TOR,False,580.0,0,1,0,0,0,0,2,2,1,0,0,1,0,0
Aron,Baynes,2015-01-10,SAS,MIN,False,125.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Kenyon,Martin,2015-01-10,MIL,CHI,False,330.0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
Furkan,Aldemir,2015-01-10,PHI,IND,True,361.0,0,1,0,0,0,1,2,3,1,0,1,2,3,0
Cleanthony,Early,2015-01-10,NYK,CHO,True,1792.0,2,9,2,6,0,0,2,2,2,0,0,3,2,6
Cody,Zeller,2015-01-10,CHO,NYK,False,1027.0,0,3,0,0,2,0,0,0,0,0,0,0,3,2
Elliot,Williams,2015-01-10,UTA,HOU,False,1285.0,1,6,1,3,0,0,1,1,0,2,0,3,0,3
C.J.,McCollum,2015-01-10,POR,ORL,True,646.0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
Mirza,Teletovic,2015-01-10,BRK,DET,False,1178.0,1,9,1,4,0,1,5,6,2,0,0,2,2,3
Jose,Calderon,2015-01-10,NYK,CHO,True,1748.0,3,12,1,5,0,0,0,0,2,0,0,3,2,7
Chris,Copeland,2015-01-10,IND,PHI,False,764.0,0,4,0,1,0,0,0,0,1,0,0,0,2,0
Luc,Mbah,2015-01-10,PHI,IND,True,1488.0,0,5,0,1,0,0,1,1,0,1,0,1,4,0
